"name","X1","yymm"
"루원시티",60,"2019-07"
"원도심",43,"2019-07"
"캐시백",35,"2019-07"
"결제액",20,"2019-07"
"종합건설본부",16,"2019-07"
"문학터널",16,"2019-07"
"신도시",16,"2019-07"
"보건환경",15,"2019-07"
"수도권매립지",15,"2019-07"
"재배치",14,"2019-07"
"페스티벌",12,"2019-07"
"소상공인",11,"2019-07"
"아이들",11,"2019-07"
"루원복합청사",10,"2019-07"
"허종식",10,"2019-07"
"콘서트",10,"2019-07"
"매립지",10,"2019-07"
"관광객",9,"2019-07"
"통행료",8,"2019-07"
"효율성",8,"2019-07"
"상업용지",8,"2019-07"
"서명운동",8,"2019-07"
"교통혼잡",8,"2019-07"
"행정절차",8,"2019-07"
"옹진군",8,"2019-07"
"펜타포트",7,"2019-07"
"도로망",7,"2019-07"
"쓰레기",7,"2019-07"
"수돗물",7,"2019-07"
"저작권",7,"2019-07"
"원도심",62,"2019-10"
"캐시백",42,"2019-10"
"국제도시",27,"2019-10"
"신도시",24,"2019-10"
"결제액",20,"2019-10"
"도서관",18,"2019-10"
"물류센터",14,"2019-10"
"위원회",13,"2019-10"
"일자리",11,"2019-10"
"대중교통",11,"2019-10"
"수도권",11,"2019-10"
"돌봄센터",10,"2019-10"
"소상공인",10,"2019-10"
"주거환경",10,"2019-10"
"공영주차장",9,"2019-10"
"공항철도",9,"2019-10"
"철도망",9,"2019-10"
"터미널",9,"2019-10"
"인프라",8,"2019-10"
"김상섭",7,"2019-10"
"본부장",7,"2019-10"
"디자인",7,"2019-10"
"영유아",7,"2019-10"
"도시정비",7,"2019-10"
"자치구",6,"2019-10"
"의료기기",5,"2019-10"
"투자유치",5,"2019-10"
"저작권자",5,"2019-10"
"최찬용",5,"2019-10"
"프로그램",5,"2019-10"
"원도심",58,"2020-03"
"수도권",26,"2020-03"
"주거생활",26,"2020-03"
"아파트",24,"2020-03"
"국제도시",19,"2020-03"
"주거환경",15,"2020-03"
"주거지",13,"2020-03"
"부동산",12,"2020-03"
"힐스테이트",12,"2020-03"
"신도심",11,"2020-03"
"지하철",10,"2020-03"
"타당성",9,"2020-03"
"김교흥",9,"2020-03"
"강아지",9,"2020-03"
"신입생",8,"2020-03"
"신도시",8,"2020-03"
"미분양",7,"2020-03"
"부평역",7,"2020-03"
"경제자유구역",7,"2020-03"
"저작권자",7,"2020-03"
"계양구",7,"2020-03"
"집수리",7,"2020-03"
"생활권",7,"2020-03"
"학부모",6,"2020-03"
"신동근",6,"2020-03"
"백운역",5,"2020-03"
"전용면적",5,"2020-03"
"더스카이",5,"2020-03"
"상승률",5,"2020-03"
"초등학교",4,"2020-03"
"연료전지",12,"2019-11"
"원도심",9,"2019-11"
"위원회",6,"2019-11"
"임대주택",5,"2019-11"
"가이드라인",3,"2019-11"
"기초단체",3,"2019-11"
"옹진군",3,"2019-11"
"한국일보",3,"2019-11"
"보고회",3,"2019-11"
"협의체",3,"2019-11"
"계양구",2,"2019-11"
"등급별",2,"2019-11"
"소공원",2,"2019-11"
"소규모",2,"2019-11"
"정동석",2,"2019-11"
"주차장",2,"2019-11"
"과반수",2,"2019-11"
"김종호",2,"2019-11"
"협의회",2,"2019-11"
"경제정보",1,"2019-11"
"글로벌",1,"2019-11"
"리모델링",1,"2019-11"
"소유주",1,"2019-11"
"유관기관",1,"2019-11"
"정보은행",1,"2019-11"
"주거환경",1,"2019-11"
"박구원",1,"2019-11"
"이벤트",1,"2019-11"
"친구맺기",1,"2019-11"
"특례법",1,"2019-11"
"원도심",14,"2019-09"
"국제도시",13,"2019-09"
"신도시",13,"2019-09"
"서비스",10,"2019-09"
"철도망",9,"2019-09"
"지하철",8,"2019-09"
"주거환경",8,"2019-09"
"집수리",8,"2019-09"
"주거지",6,"2019-09"
"본부장",6,"2019-09"
"상반기",5,"2019-09"
"수도권",5,"2019-09"
"루원시티",4,"2019-09"
"공항철도",4,"2019-09"
"입찰공고",4,"2019-09"
"조달청",4,"2019-09"
"철도건설",4,"2019-09"
"행정절차",4,"2019-09"
"검암역",4,"2019-09"
"공공주택",4,"2019-09"
"미분양",4,"2019-09"
"소규모",4,"2019-09"
"테크노밸리",4,"2019-09"
"수인선",4,"2019-09"
"싱크대",3,"2019-09"
"아파트",3,"2019-09"
"헤럴드경제",3,"2019-09"
"광역교통망",3,"2019-09"
"위원회",3,"2019-09"
"임대주택",3,"2019-09"
"원도심",23,"2020-02"
"아파트",16,"2020-02"
"터미널",15,"2020-02"
"김교흥",14,"2020-02"
"이정미",14,"2020-02"
"국제도시",12,"2020-02"
"위원회",11,"2020-02"
"바이러스",9,"2020-02"
"여러분",9,"2020-02"
"연안부두",9,"2020-02"
"인터뷰",8,"2020-02"
"신도시",8,"2020-02"
"소상공인",8,"2020-02"
"부평역",8,"2020-02"
"중소기업",7,"2020-02"
"상임위",7,"2020-02"
"김응호",6,"2020-02"
"김갑봉",6,"2020-02"
"수인선",6,"2020-02"
"도시포럼",6,"2020-02"
"해비타트",6,"2020-02"
"곤지암",6,"2020-02"
"국제여객",5,"2020-02"
"간담회",5,"2020-02"
"가맹점",5,"2020-02"
"미세먼지",5,"2020-02"
"스마트",5,"2020-02"
"에코시티",5,"2020-02"
"전자식",5,"2020-02"
"캐시백",5,"2020-02"
"대전역",15,"2020-04"
"공공주택",7,"2020-04"
"김교흥",7,"2020-04"
"대전시",4,"2020-04"
"원도심",4,"2020-04"
"경인고속도",4,"2020-04"
"김중삼",4,"2020-04"
"소각장",4,"2020-04"
"영구임대주택",3,"2020-04"
"영등포",3,"2020-04"
"임대주택",3,"2020-04"
"클러스터",3,"2020-04"
"교통망",3,"2020-04"
"공공기관",2,"2020-04"
"상업시설",2,"2020-04"
"신도심",2,"2020-04"
"이춘희",2,"2020-04"
"임대료",2,"2020-04"
"주거지",2,"2020-04"
"코레일",2,"2020-04"
"한국철도",2,"2020-04"
"혁신도시",2,"2020-04"
"경인전철",2,"2020-04"
"유정복",2,"2020-04"
"철도망",2,"2020-04"
"자영업",2,"2020-04"
"가로등",1,"2020-04"
"개념도",1,"2020-04"
"거버넌스",1,"2020-04"
"경부선",1,"2020-04"
"원도심",35,"2019-04"
"루원시티",29,"2019-04"
"노동자",21,"2019-04"
"경제자유구역",21,"2019-04"
"경인고속도",16,"2019-04"
"개항장",15,"2019-04"
"지웰시티",14,"2019-04"
"비정규직",13,"2019-04"
"협의회",12,"2019-04"
"인프라",11,"2019-04"
"폐공장",11,"2019-04"
"케이블",9,"2019-04"
"푸르지오",9,"2019-04"
"토론회",9,"2019-04"
"국방부",9,"2019-04"
"국제도시",8,"2019-04"
"수도권",8,"2019-04"
"지하철",8,"2019-04"
"건축물",8,"2019-04"
"방직회사",8,"2019-04"
"순환고",7,"2019-04"
"타당성",7,"2019-04"
"박물관",7,"2019-04"
"김교흥",7,"2019-04"
"정규직",7,"2019-04"
"일자리",7,"2019-04"
"역세권",6,"2019-04"
"중심시가지",6,"2019-04"
"코디네이터",6,"2019-04"
"인테리어",6,"2019-04"
"배다리",29,"2019-08"
"원도심",25,"2019-08"
"커뮤니티",21,"2019-08"
"루원시티",20,"2019-08"
"캐시백",18,"2019-08"
"신흥동",18,"2019-08"
"협의회",13,"2019-08"
"전문가",11,"2019-08"
"협의체",10,"2019-08"
"지하철",10,"2019-08"
"민선기",8,"2019-08"
"헤럴드경제",8,"2019-08"
"주거환경",8,"2019-08"
"실마리",7,"2019-08"
"결제액",6,"2019-08"
"관통도로",6,"2019-08"
"위원회",6,"2019-08"
"헤럴드",6,"2019-08"
"문화재단",6,"2019-08"
"대성베르힐ii",6,"2019-08"
"신도시",5,"2019-08"
"타당성",5,"2019-08"
"집수리",5,"2019-08"
"인프라",5,"2019-08"
"일자리",5,"2019-08"
"주차장",5,"2019-08"
"체육시설",5,"2019-08"
"불균형",4,"2019-08"
"유동삼",4,"2019-08"
"특별위원회",4,"2019-08"
"원도심",26,"2019-06"
"신도시",23,"2019-06"
"세종시",22,"2019-06"
"혁신도시",13,"2019-06"
"수도권",10,"2019-06"
"수돗물",10,"2019-06"
"매립지",8,"2019-06"
"붉은수돗물",6,"2019-06"
"정상화",6,"2019-06"
"군부대",5,"2019-06"
"공공기관",5,"2019-06"
"대전시",5,"2019-06"
"상업용지",5,"2019-06"
"재배치",4,"2019-06"
"신도심",4,"2019-06"
"아파트",4,"2019-06"
"한겨레",4,"2019-06"
"수질검사",4,"2019-06"
"환경부",4,"2019-06"
"루원시티",4,"2019-06"
"지웰시티",4,"2019-06"
"푸르지오",4,"2019-06"
"디자인",4,"2019-06"
"자전거",4,"2019-06"
"모델하우스",4,"2019-06"
"분양가",4,"2019-06"
"예비군훈련",3,"2019-06"
"전문가",3,"2019-06"
"협의회",3,"2019-06"
"대규모",3,"2019-06"
"마이스",151,"2019-05"
"유니크",29,"2019-05"
"원도심",26,"2019-05"
"컨벤시아",19,"2019-05"
"경제자유구역",15,"2019-05"
"생태계",13,"2019-05"
"마케팅",12,"2019-05"
"스타트업",12,"2019-05"
"얼라이언스",12,"2019-05"
"프로그램",10,"2019-05"
"임대주택",10,"2019-05"
"국제기구",9,"2019-05"
"인프라",9,"2019-05"
"테크노파크",9,"2019-05"
"네트워크",7,"2019-05"
"폴리스",7,"2019-05"
"국제도시",7,"2019-05"
"리모델링",7,"2019-05"
"개정작업",6,"2019-05"
"대규모",6,"2019-05"
"세일즈",6,"2019-05"
"협의체",6,"2019-05"
"회원사",6,"2019-05"
"음식물쓰레기",6,"2019-05"
"가맹점",6,"2019-05"
"컨벤션센터",6,"2019-05"
"소규모",6,"2019-05"
"신도시",6,"2019-05"
"경쟁력",5,"2019-05"
"미래산업",5,"2019-05"
"캐시백",13,"2019-12"
"서비스",11,"2019-12"
"원도심",8,"2019-12"
"석남역",7,"2019-12"
"결제액",6,"2019-12"
"상반기",4,"2019-12"
"와이파이",4,"2019-12"
"경인고속도",3,"2019-12"
"경쟁력",3,"2019-12"
"일자리",3,"2019-12"
"중앙역",3,"2019-12"
"재정비",3,"2019-12"
"저작권자",3,"2019-12"
"중심시가지",3,"2019-12"
"총괄표",3,"2019-12"
"역세권",3,"2019-12"
"프로젝트",3,"2019-12"
"소상공인",3,"2019-12"
"리모델링",2,"2019-12"
"돈컷은",2,"2019-12"
"아이디",2,"2019-12"
"주거환경",2,"2019-12"
"마중물",2,"2019-12"
"박혜숙",2,"2019-12"
"본격화",2,"2019-12"
"가맹점",2,"2019-12"
"경제자유구역",2,"2019-12"
