"word","N"
"당선자",3
"매립지",24
"신동근",8
"환경",49
"환경위원회",10
"수도권매립지",25
"각종",3
"구민",10
"생명",3
"보수",4
"관리할",2
"선정",5
"과제",10
"현대화",3
"녹색연합",6
"환경운동연합",2
"소음",2
"집중",4
"아파트",22
"선거",8
"당선인",4
"당선",4
"위원회",10
"출범",3
"교통",12
"체계",8
"검단",17
"검단신도시",13
"시작한",2
"구축",3
"평화복지연대",4
"중앙정부",2
"지원",31
"경제",7
"승리",2
"미추홀구갑",2
"탈환",2
"균형",5
"박인애",4
"앵커",9
"격전지",2
"김교흥",10
"노력",6
"정치",4
"기간",3
"관심",3
"장점",2
"대규모",4
"유입",14
"예상",4
"자료",4
"비판",3
"소각장",23
"폐쇄",4
"확보",5
"작업",4
"상대",2
"계양구",5
"연륙교",6
"방문",4
"발언",2
"연희동",2
"갈등",8
"매설",3
"구간",2
"교체",4
"정비",6
"이상",10
"노후",2
"관로",3
"의장",4
"일정",2
"이중재",2
"부평갑",2
"기자",9
"도시",11
"지하철",12
"신동",2
"대중교통",4
"접근성",3
"유아교육",3
"교사",3
"신혼부부",4
"이하",4
"자녀",5
"통합당",8
"김중삼",8
"공천",7
"논란",4
"무소속",5
"이행숙",7
"현역",4
"민경욱",2
"여론",2
"정일영",2
"이정미",2
"다음",3
"현수막",5
"미추홀",5
"홍보",3
"지적",7
"경제자유구역청",3
"국토교통부",3
"고속도",2
"이슈",2
"사실상",2
"기사",3
"비교",2
"어린이들",2
"동네",2
"심기보",2
"성훈식",2
"복합문화공간",2
"변화",2
"명단",4
"정치권",6
"판단",3
"도전",2
"국토부",2
"경력",2
"차원",3
"취지",2
"구로",2
"유치원",5
"시행",3
"사실",3
"임기",4
"혐의",6
"통합",3
"악취",11
"점검",4
"중심",5
"플랫폼",3
"기업",8
"공공기관",3
"시동",2
"유세",2
"활동",6
"미추홀구을",2
"김응호",3
"입국",5
"잠복기",4
"발병할",3
"사회",22
"전파",3
"자원순환",7
"선도도시",5
"구현",5
"재활용폐기물",20
"관리",10
"한국환경공단",10
"수거업",7
"주택",18
"전자",4
"시범",5
"보완",5
"기초자치단체",4
"단독",2
"국가",3
"대결",3
"교육",6
"경인고속도",7
"일반도로화",2
"운동",2
"종합",5
"노리",2
"광역소각장",2
"공방",4
"경기",16
"위축",2
"로드",2
"의혹",4
"전략",3
"부담",3
"신천지",3
"측은",4
"장폐기물",2
"방침",6
"초청",2
"토론회",5
"맹성규",3
"유정복",3
"철도교통망",3
"확충",3
"이형구",2
"리포트",6
"경선",7
"확정",2
"설명",4
"미추홀갑",5
"유승민",4
"이혜훈",3
"공관위",3
"메시지",3
"주거",7
"감안",2
"지연",2
"진입",2
"효과",2
"폐기물",5
"수거업자",2
"조정",5
"사무실",2
"과밀학급",5
"해소",2
"학교",32
"부평",6
"환경부",15
"급수계통",2
"수돗물",52
"수질",16
"검사",10
"망간",2
"탁도",2
"항목",2
"자원",5
"어린이집",4
"본부",5
"간담회",7
"자리",4
"붉은수돗물",60
"현상",3
"이물질",5
"피부질환",2
"암초",10
"배치",10
"통학",10
"과밀화",10
"희학교",10
"특수교육",10
"원거",5
"현황",2
"예산",9
"국제도시",13
"획정안",7
"반발",6
"인구수",3
"비율",3
"협약",3
"체결",2
"기관",3
"지방자치단체",2
"쓰레기",16
"수도권",17
"매립",5
"시스템",2
"업체",8
"공무원",2
"강범석",3
"남동",2
"언론",2
"고발",3
"마스크",21
"긴급",5
"공급",10
"화폐",9
"온리몰",2
"활용해",5
"청사",3
"유치",6
"인구",7
"원도심",11
"일반화",3
"오전",9
"확진",9
"판정",10
"경기도",7
"군포시",11
"출근해",7
"군포지샘병원",6
"선별진료소",7
"방문해",8
"처방",8
"선거운동",2
"진심",2
"재난본부",7
"단위",5
"수급",7
"완화",7
"관내",5
"제조업체",4
"병력",4
"사례",3
"입장",7
"스쿨존",2
"지정",8
"소재",3
"불법주정차",2
"민간",3
"건물",4
"포함한",4
"수준",3
"정부",9
"환경과학원",2
"미세먼지",16
"농도",8
"우울증",2
"직장",3
"확진환자",2
"캠프마켓",10
"미래전략",5
"상태",6
"국방부",5
"통합재배치",5
"연구",5
"용역",9
"토대",5
"군부대",5
"부지활",5
"수도권쓰레기매립지",4
"남동국가산업단지",2
