"name","X1","yymm"
"매립지",230,"2019-07"
"수도권매립지",75,"2019-07"
"환경부",64,"2019-07"
"쓰레기",63,"2019-07"
"수도권",61,"2019-07"
"토론회",51,"2019-07"
"공론화",46,"2019-07"
"폐기물",44,"2019-07"
"청소차",38,"2019-07"
"친환경",30,"2019-07"
"화물차",28,"2019-07"
"위원회",20,"2019-07"
"매립장",16,"2019-07"
"미세먼지",15,"2019-07"
"경기도",14,"2019-07"
"타당성",13,"2019-07"
"초저온",11,"2019-07"
"문화예술회관",11,"2019-07"
"쓰레기매립지",11,"2019-07"
"인센티브",11,"2019-07"
"천연가스",9,"2019-07"
"전문가",9,"2019-07"
"생활폐기물",9,"2019-07"
"대학교",9,"2019-07"
"건설기계",8,"2019-07"
"충전소",8,"2019-07"
"콘크리트",8,"2019-07"
"국제회의실",8,"2019-07"
"연구용역",8,"2019-07"
"용역연구",8,"2019-07"
"매립지",286,"2019-10"
"수도권매립지",239,"2019-10"
"폐기물",96,"2019-10"
"환경부",76,"2019-10"
"쓰레기",64,"2019-10"
"수도권",63,"2019-10"
"공론화",52,"2019-10"
"친환경",52,"2019-10"
"시험장",46,"2019-10"
"위원회",38,"2019-10"
"클러스터",30,"2019-10"
"소각장",30,"2019-10"
"매립장",29,"2019-10"
"골프장",27,"2019-10"
"테스트",24,"2019-10"
"토론회",23,"2019-10"
"드림파크",21,"2019-10"
"협의체",17,"2019-10"
"선진화",17,"2019-10"
"경기도",16,"2019-10"
"폐기물관리",13,"2019-10"
"어린이",13,"2019-10"
"영구화",13,"2019-10"
"비행체",12,"2019-10"
"쓰레기매립지",12,"2019-10"
"생태계",11,"2019-10"
"스타트업",11,"2019-10"
"일자리",11,"2019-10"
"협의회",11,"2019-10"
"대토론회",11,"2019-10"
"수도권매립지",151,"2020-03"
"매립지",91,"2020-03"
"폐기물",90,"2020-03"
"환경부",66,"2020-03"
"연구용역",45,"2020-03"
"재활용",43,"2020-03"
"쓰레기",38,"2020-03"
"수도권",36,"2020-03"
"협의체",35,"2020-03"
"친환경",30,"2020-03"
"신동근",30,"2020-03"
"수수료",29,"2020-03"
"소각장",27,"2020-03"
"무소속",27,"2020-03"
"신도시",18,"2020-03"
"김교흥",18,"2020-03"
"배당금",17,"2020-03"
"위원회",15,"2020-03"
"현수막",14,"2020-03"
"매립장",14,"2020-03"
"종량제",12,"2020-03"
"생활폐기물",12,"2020-03"
"계양구",12,"2020-03"
"대공원",11,"2020-03"
"저작권자",11,"2020-03"
"잔재물",10,"2020-03"
"재활용품",10,"2020-03"
"장호영",10,"2020-03"
"테크노밸리",10,"2020-03"
"드림파크",9,"2020-03"
"환경부",130,"2019-11"
"매립지",122,"2019-11"
"수도권매립지",69,"2019-11"
"쇳가루",68,"2019-11"
"미세먼지",63,"2019-11"
"수도권",61,"2019-11"
"폐기물",60,"2019-11"
"중금속",57,"2019-11"
"우울증",54,"2019-11"
"주거환경",54,"2019-11"
"환경과학",46,"2019-11"
"소각장",46,"2019-11"
"쓰레기",41,"2019-11"
"유해물질",24,"2019-11"
"폐기물업체",23,"2019-11"
"협의회",21,"2019-11"
"연구진",21,"2019-11"
"환경오염",20,"2019-11"
"카드뮴",19,"2019-11"
"경인아라뱃길",17,"2019-11"
"유방암",16,"2019-11"
"제조업체",15,"2019-11"
"지방자치",15,"2019-11"
"위원회",14,"2019-11"
"경기도",12,"2019-11"
"협의체",12,"2019-11"
"오염원",12,"2019-11"
"왕길교회",12,"2019-11"
"호흡기질환",11,"2019-11"
"경쟁력",11,"2019-11"
"매립지",455,"2019-09"
"폐기물",145,"2019-09"
"수도권매립지",140,"2019-09"
"환경부",121,"2019-09"
"쓰레기",120,"2019-09"
"수도권",118,"2019-09"
"매립장",77,"2019-09"
"친환경",72,"2019-09"
"소각장",56,"2019-09"
"경기도",54,"2019-09"
"직매립",52,"2019-09"
"이재명",42,"2019-09"
"경기도지사",37,"2019-09"
"공정사회",37,"2019-09"
"중앙정부",37,"2019-09"
"연구용역",34,"2019-09"
"공론화",34,"2019-09"
"재활용",32,"2019-09"
"위원회",31,"2019-09"
"생활폐기물",29,"2019-09"
"코스모스",25,"2019-09"
"토론회",24,"2019-09"
"인센티브",23,"2019-09"
"대토론회",23,"2019-09"
"경기도청",22,"2019-09"
"제로화",22,"2019-09"
"소각재",21,"2019-09"
"보고회",16,"2019-09"
"극대화",14,"2019-09"
"불연재",14,"2019-09"
"미세먼지",25,"2020-02"
"수도권매립지",14,"2020-02"
"포스코",14,"2020-02"
"매립지",11,"2020-02"
"경인아라뱃길",10,"2020-02"
"보고회",10,"2020-02"
"기업체",9,"2020-02"
"대기오염물질",9,"2020-02"
"반입량",8,"2020-02"
"공론화",8,"2020-02"
"자발적",7,"2020-02"
"토론회",7,"2020-02"
"기본구상",6,"2020-02"
"위원회",6,"2020-02"
"기업당",5,"2020-02"
"경기도",4,"2020-02"
"생활폐기물",4,"2020-02"
"수도권",4,"2020-02"
"석유화학",4,"2020-02"
"할당량",4,"2020-02"
"무상교육",4,"2020-02"
"신동근",4,"2020-02"
"자치단체",3,"2020-02"
"총량제",3,"2020-02"
"환경부",3,"2020-02"
"한국남",3,"2020-02"
"한국중부",3,"2020-02"
"질소산화물",3,"2020-02"
"대회의실",3,"2020-02"
"오염물질",3,"2020-02"
"선거운동",20,"2020-04"
"수도권매립지",19,"2020-04"
"경인고속도",16,"2020-04"
"무소속",13,"2020-04"
"계양구",11,"2020-04"
"대공원",11,"2020-04"
"원도심",11,"2020-04"
"소각장",10,"2020-04"
"수도권",9,"2020-04"
"옹진군",9,"2020-04"
"헌법소원",8,"2020-04"
"코로나",8,"2020-04"
"유권자",7,"2020-04"
"김교흥",7,"2020-04"
"윤상현",7,"2020-04"
"어린이",7,"2020-04"
"출정식",7,"2020-04"
"폐기물",7,"2020-04"
"쓰레기",6,"2020-04"
"지하철",6,"2020-04"
"매립지",6,"2020-04"
"월미공원",6,"2020-04"
"저작권자",6,"2020-04"
"남영희",6,"2020-04"
"미추홀구을",6,"2020-04"
"정수영",6,"2020-04"
"테크노밸리",5,"2020-04"
"벚꽃축제",5,"2020-04"
"배준영",5,"2020-04"
"안상수",5,"2020-04"
"매립지",326,"2019-04"
"환경부",141,"2019-04"
"수도권매립지",134,"2019-04"
"수도권",94,"2019-04"
"쓰레기",70,"2019-04"
"폐기물",56,"2019-04"
"매립장",52,"2019-04"
"경기도",51,"2019-04"
"인센티브",34,"2019-04"
"공기정화",31,"2019-04"
"주도로",30,"2019-04"
"쓰레기매립지",19,"2019-04"
"허종식",19,"2019-04"
"협의회",19,"2019-04"
"협의체",18,"2019-04"
"생활폐기물",16,"2019-04"
"초등학교",15,"2019-04"
"방폐장",14,"2019-04"
"중앙정부",13,"2019-04"
"미세먼지",12,"2019-04"
"이해찬",10,"2019-04"
"준설토",9,"2019-04"
"타당성",9,"2019-04"
"캠페인",9,"2019-04"
"쇼미더",8,"2019-04"
"연구용역",8,"2019-04"
"투기장",8,"2019-04"
"지방자치단체",8,"2019-04"
"위원회",8,"2019-04"
"난지도매립장",7,"2019-04"
"매립지",199,"2019-08"
"수도권매립지",125,"2019-08"
"환경부",74,"2019-08"
"폐기물",45,"2019-08"
"수도권",44,"2019-08"
"쓰레기",34,"2019-08"
"생활폐기물",20,"2019-08"
"협의체",19,"2019-08"
"연구용역",17,"2019-08"
"영구화",17,"2019-08"
"직매립",14,"2019-08"
"위원회",14,"2019-08"
"경기도",13,"2019-08"
"친환경",13,"2019-08"
"인센티브",11,"2019-08"
"환경부장관",9,"2019-08"
"매립장",8,"2019-08"
"폐촉법",8,"2019-08"
"타당성",7,"2019-08"
"협의회",7,"2019-08"
"제로화",7,"2019-08"
"수수료",6,"2019-08"
"구매처",6,"2019-08"
"야생화",6,"2019-08"
"반입량",5,"2019-08"
"간담회",5,"2019-08"
"시행령",5,"2019-08"
"입지선정",5,"2019-08"
"환경관리",4,"2019-08"
"매립량",4,"2019-08"
"매립지",149,"2019-06"
"수도권매립지",119,"2019-06"
"환경부",63,"2019-06"
"폐기물",54,"2019-06"
"수도권",52,"2019-06"
"쓰레기",42,"2019-06"
"토론회",34,"2019-06"
"쓰레기매립지",21,"2019-06"
"매립장",18,"2019-06"
"협의체",12,"2019-06"
"경기도",11,"2019-06"
"신동근",11,"2019-06"
"중앙정부",11,"2019-06"
"강종구",10,"2019-06"
"김용식",10,"2019-06"
"김송원",9,"2019-06"
"네트워크",9,"2019-06"
"류권홍",9,"2019-06"
"사무처장",9,"2019-06"
"시리즈",9,"2019-06"
"대학교",9,"2019-06"
"쇼미더",8,"2019-06"
"구월동",8,"2019-06"
"생물자원",8,"2019-06"
"원도심",8,"2019-06"
"유전자",7,"2019-06"
"조명래",6,"2019-06"
"행정학",6,"2019-06"
"협의회",6,"2019-06"
"메틸로박터",6,"2019-06"
"매립지",41,"2019-05"
"수도권매립지",38,"2019-05"
"야생화",30,"2019-05"
"미세먼지",29,"2019-05"
"폐기물",21,"2019-05"
"쓰레기",17,"2019-05"
"수도권",16,"2019-05"
"시스템",14,"2019-05"
"글로벌",11,"2019-05"
"캠퍼스",10,"2019-05"
"쓰레기매립지",9,"2019-05"
"재활용",7,"2019-05"
"오사카",6,"2019-05"
"요코하마",6,"2019-05"
"친환경",6,"2019-05"
"협의회",5,"2019-05"
"매립장",5,"2019-05"
"스타트업",5,"2019-05"
"대기오염",5,"2019-05"
"저공해",5,"2019-05"
"대공원",4,"2019-05"
"북부권",4,"2019-05"
"쇼미더",4,"2019-05"
"토론회",4,"2019-05"
"현수막",4,"2019-05"
"경유차",4,"2019-05"
"오염물질",4,"2019-05"
"경기도",3,"2019-05"
"한국일보",3,"2019-05"
"요코하마시",3,"2019-05"
"매립지",128,"2019-12"
"수도권매립지",109,"2019-12"
"청소차",70,"2019-12"
"친환경",42,"2019-12"
"폐기물",42,"2019-12"
"쓰레기",35,"2019-12"
"수도권",35,"2019-12"
"환경부",30,"2019-12"
"소각장",27,"2019-12"
"특별회계",26,"2019-12"
"미세먼지",20,"2019-12"
"온실가스",17,"2019-12"
"환경운동",14,"2019-12"
"콘크리트",11,"2019-12"
"재판매",10,"2019-12"
"경기도",10,"2019-12"
"계양구",9,"2019-12"
"글로벌",9,"2019-12"
"음폐수",9,"2019-12"
"복지센터",9,"2019-12"
"쌈짓돈",9,"2019-12"
"선포식",8,"2019-12"
"운반차",8,"2019-12"
"대기환경",8,"2019-12"
"바이오",8,"2019-12"
"호수공원",8,"2019-12"
"매립장",7,"2019-12"
"저공해",7,"2019-12"
"생활폐기물",7,"2019-12"
"저작권자",7,"2019-12"
"수도권매립지",49,"2020-01"
"매립지",35,"2020-01"
"쓰레기",21,"2020-01"
"환경부",20,"2020-01"
"토론회",16,"2020-01"
"친환경",14,"2020-01"
"폐기물",13,"2020-01"
"김교흥",12,"2020-01"
"수도권",11,"2020-01"
"특별회계",11,"2020-01"
"스마트",11,"2020-01"
"소각장",10,"2020-01"
"경기도",9,"2020-01"
"자구책",8,"2020-01"
"중앙공원",8,"2020-01"
"재활용",8,"2020-01"
"직매립",7,"2020-01"
"수송로",6,"2020-01"
"이수진",6,"2020-01"
"캠페인",6,"2020-01"
"협의회",5,"2020-01"
"정세균",5,"2020-01"
"출판기념회",5,"2020-01"
"부회장",5,"2020-01"
"대회의실",5,"2020-01"
"인터뷰",5,"2020-01"
"지방분권",5,"2020-01"
"이연수",5,"2020-01"
"저작권",5,"2020-01"
"싱가포르",5,"2020-01"
